loc_pair,route,type,intersection,dist,abs_diff
07 19,07 19 driving,driving,07,1.2949362011705712,0.36075568489977516
07 19,07 19 walking,walking,07,0.934180516270796,0
07 20,07 20 driving,driving,07,1.0183152308785863,0.16637299169999753
07 20,07 20 walking,walking,07,0.8519422391785888,0
07 21,07 21 driving,driving,07,1.059524766848117,0.19313796336512645
07 21,07 21 walking,walking,07,0.8663868034829905,0
07 22,07 22 driving,driving,07,1.0928191035266026,0.24071204423213988
07 22,07 22 walking,walking,07,0.8521070592944627,0
07 23,07 23 driving,driving,07,1.138849687251851,0.1859273316594392
07 23,07 23 walking,walking,07,0.9529223555924118,0
07 24,07 24 driving,driving,07,1.1380843270733692,0.18337491470625844
07 24,07 24 walking,walking,07,0.9547094123671107,0
07 25,07 25 driving,driving,07,0.7067653790702684,0.06324651808683956
07 25,07 25 walking,walking,07,0.6435188609834288,0
07 26,07 26 driving,driving,07,0.7749479786867761,0.25741845653797735
07 26,07 26 walking,walking,07,0.5175295221487988,0
07 27,07 27 driving,driving,07,0.5542187540574612,0.027659972588988446
07 27,07 27 walking,walking,07,0.5265587814684728,0
07 28,07 28 driving,driving,07,0.6080864632684204,0.30066858820100634
07 28,07 28 walking,walking,07,0.3074178750674141,0
07 29,07 29 driving,driving,07,0.8866004030917887,0.3658833607600537
07 29,07 29 walking,walking,07,0.520717042331735,0
07 30,07 30 driving,driving,07,0.9379878025714743,0.05054819668244115
07 30,07 30 walking,walking,07,0.8874396058890331,0
07 31,07 31 driving,driving,07,1.474663581694843,0.5286470337290115
07 31,07 31 walking,walking,07,0.9460165479658316,0
07 32,07 32 driving,driving,07,1.5616390247580507,0.6140177121413367
07 32,07 32 walking,walking,07,0.947621312616714,0
08 01,08 01 driving,driving,08,0.4406190897453572,0
08 01,08 01 walking,walking,08,0.4406190897453572,0
08 02,08 02 driving,driving,08,0.4882147296473496,0
08 02,08 02 walking,walking,08,0.4882147296473496,0
08 03,08 03 driving,driving,08,0.7915127535530071,0.14391726120535853
08 03,08 03 walking,walking,08,0.6475954923476486,0
08 04,08 04 driving,driving,08,0.7850898948967713,0.08585350081175169
08 04,08 04 walking,walking,08,0.6992363940850196,0
08 05,08 05 driving,driving,08,0.8640280555837612,0.23333339428168165
