lat,lon,loc_pair,route,type,intersection,centroid,ord
39.95079040527344,-75.20581817626953,06 30,06 30 driving,driving,06,30,2
39.95100021362305,-75.205810546875,06 30,06 30 driving,driving,06,30,3
39.95186996459961,-75.20562744140625,06 30,06 30 driving,driving,06,30,4
39.95206069946289,-75.20560455322266,06 30,06 30 driving,driving,06,30,5
39.951759338378906,-75.20307159423828,06 30,06 30 driving,driving,06,30,6
39.95155715942383,-75.2015380859375,06 30,06 30 driving,driving,06,30,7
39.95134735107422,-75.19989013671875,06 30,06 30 driving,driving,06,30,8
39.95124053955078,-75.1989517211914,06 30,06 30 driving,driving,06,30,9
39.950809478759766,-75.1954345703125,06 30,06 30 driving,driving,06,30,10
39.9505500793457,-75.193359375,06 30,06 30 driving,driving,06,30,11
39.95035934448242,-75.191925048828125,06 30,06 30 driving,driving,06,30,12
39.9503288269043,-75.19171905517578,06 30,06 30 driving,driving,06,30,13
39.95023727416992,-75.191558837890625,06 30,06 30 driving,driving,06,30,14
39.94968032836914,-75.19078063964844,06 30,06 30 driving,driving,06,30,15
39.94947814941406,-75.19102478027344,06 30,06 30 driving,driving,06,30,16
39.949398040771484,-75.19110870361328,06 30,06 30 driving,driving,06,30,17
39.94935989379883,-75.19111633300781,06 30,06 30 driving,driving,06,30,18
39.94926834106445,-75.19107818603516,06 30,06 30 driving,driving,06,30,19
39.94845962524414,-75.20521545410156,07 30,07 30 driving,driving,07,30,1
39.948577880859375,-75.20494842529297,07 30,07 30 driving,driving,07,30,2
39.948978424072266,-75.2038345336914,07 30,07 30 driving,driving,07,30,3
39.949100494384766,-75.203521728515625,07 30,07 30 driving,driving,07,30,4
39.9493408203125,-75.2028579711914,07 30,07 30 driving,driving,07,30,5
39.94977951049805,-75.201446533203125,07 30,07 30 driving,driving,07,30,6
39.9498405456543,-75.20111846923828,07 30,07 30 driving,driving,07,30,7
39.9498291015625,-75.20098876953125,07 30,07 30 driving,driving,07,30,8
39.94978713989258,-75.20079803466797,07 30,07 30 driving,driving,07,30,9
39.94976806640625,-75.2007064819336,07 30,07 30 driving,driving,07,30,10
39.94968795776367,-75.20050048828125,07 30,07 30 driving,driving,07,30,11
39.949588775634766,-75.2002182006836,07 30,07 30 driving,driving,07,30,12
39.94961929321289,-75.1997299194336,07 30,07 30 driving,driving,07,30,13
39.94963073730469,-75.199615478515625,07 30,07 30 driving,driving,07,30,14
39.949668884277344,-75.1996078491211,07 30,07 30 driving,driving,07,30,15
39.94974899291992,-75.19960021972656,07 30,07 30 driving,driving,07,30,16
39.950008392333984,-75.19953918457031,07 30,07 30 driving,driving,07,30,17
39.9503288269043,-75.19940185546875,07 30,07 30 driving,driving,07,30,18
39.950599670410156,-75.19932556152344,07 30,07 30 driving,driving,07,30,19
39.951148986816406,-75.19918060302734,07 30,07 30 driving,driving,07,30,20
39.95126724243164,-75.19915008544922,07 30,07 30 driving,driving,07,30,21
39.95124053955078,-75.1989517211914,07 30,07 30 driving,driving,07,30,22
39.95103073120117,-75.197265625,07 30,07 30 driving,driving,07,30,23
39.95085906982422,-75.1958999633789,07 30,07 30 driving,driving,07,30,24
39.950809478759766,-75.1954345703125,07 30,07 30 driving,driving,07,30,25
39.9505500793457,-75.193359375,07 30,07 30 driving,driving,07,30,26
39.95035934448242,-75.191925048828125,07 30,07 30 driving,driving,07,30,27
39.9503288269043,-75.19171905517578,07 30,07 30 driving,driving,07,30,28
39.95023727416992,-75.191558837890625,07 30,07 30 driving,driving,07,30,29
39.94968032836914,-75.19078063964844,07 30,07 30 driving,driving,07,30,30
39.94947814941406,-75.19102478027344,07 30,07 30 driving,driving,07,30,31
39.949398040771484,-75.19110870361328,07 30,07 30 driving,driving,07,30,32
39.94935989379883,-75.19111633300781,07 30,07 30 driving,driving,07,30,33
39.94926834106445,-75.19107818603516,07 30,07 30 driving,driving,07,30,34
39.95709991455078,-75.20195007324219,08 30,08 30 driving,driving,08,30,1
39.95563888549805,-75.20225524902344,08 30,08 30 driving,driving,08,30,2
39.95555877685547,-75.20169830322266,08 30,08 30 driving,driving,08,30,3
39.95549011230469,-75.20112609863281,08 30,08 30 driving,driving,08,30,4
39.955448150634766,-75.20069885253906,08 30,08 30 driving,driving,08,30,5
39.955230712890625,-75.19898986816406,08 30,08 30 driving,driving,08,30,6
39.955169677734375,-75.19844818115234,08 30,08 30 driving,driving,08,30,7
39.9545783996582,-75.198577880859375,08 30,08 30 driving,driving,08,30,8
39.953887939453125,-75.19873046875,08 30,08 30 driving,driving,08,30,9
39.95261764526367,-75.19898986816406,08 30,08 30 driving,driving,08,30,10
39.951438903808594,-75.1992416381836,08 30,08 30 driving,driving,08,30,11
39.951290130615234,-75.19927978515625,08 30,08 30 driving,driving,08,30,12
39.95127868652344,-75.1992416381836,08 30,08 30 driving,driving,08,30,13
39.95124053955078,-75.1989517211914,08 30,08 30 driving,driving,08,30,14
39.95085906982422,-75.1958999633789,08 30,08 30 driving,driving,08,30,15
39.950809478759766,-75.1954345703125,08 30,08 30 driving,driving,08,30,16
39.9505500793457,-75.193359375,08 30,08 30 driving,driving,08,30,17
39.95035934448242,-75.191925048828125,08 30,08 30 driving,driving,08,30,18
39.9503288269043,-75.19171905517578,08 30,08 30 driving,driving,08,30,19
39.95023727416992,-75.191558837890625,08 30,08 30 driving,driving,08,30,20
39.94968032836914,-75.19078063964844,08 30,08 30 driving,driving,08,30,21
39.94947814941406,-75.19102478027344,08 30,08 30 driving,driving,08,30,22
