lat,lon,loc_pair,route,type,intersection,centroid,ord,lat2,lon2,dist
39.9556999206543,-75.202850341796875,02 06,02 06 driving,driving,02,06,3,39.95563888549805,-75.20225524902344,0.03179871853508063
39.95563888549805,-75.20225524902344,02 06,02 06 driving,driving,02,06,4,39.95555877685547,-75.20169830322266,0.030012302862727266
39.95555877685547,-75.20169830322266,02 06,02 06 driving,driving,02,06,5,39.95549011230469,-75.20112609863281,0.030674784023169834
39.95549011230469,-75.20112609863281,02 06,02 06 driving,driving,02,06,6,39.955448150634766,-75.20069885253906,0.02281324084954801
39.955448150634766,-75.20069885253906,02 06,02 06 driving,driving,02,06,7,39.955230712890625,-75.19898986816406,0.0917515529865194
39.955230712890625,-75.19898986816406,02 06,02 06 driving,driving,02,06,8,39.95507049560547,-75.19771575927734,0.06838297887565163
39.95507049560547,-75.19771575927734,02 06,02 06 driving,driving,02,06,9,39.95480728149414,-75.19559478759766,0.11379664098781675
39.95480728149414,-75.19559478759766,02 06,02 06 driving,driving,02,06,10,39.95402908325195,-75.19574737548828,0.05437226908884651
39.95402908325195,-75.19574737548828,02 06,02 06 driving,driving,02,06,11,39.95404052734375,-75.19586181640625,0.006112626056418507
39.95404052734375,-75.19586181640625,02 06,02 06 driving,driving,02,06,12,39.95393753051758,-75.19587707519531,0.007162136017068997
39.95393753051758,-75.19587707519531,02 06,02 06 driving,driving,02,06,13,39.95389938354492,-75.19587707519531,0.0026357012363193025
39.95389938354492,-75.19587707519531,02 06,02 06 driving,driving,02,06,14,39.953857421875,-75.19586181640625,0.0030098031042911735
39.953857421875,-75.19586181640625,02 06,02 06 driving,driving,02,06,15,39.95383834838867,-75.19575500488281,0.005808668866840929
39.95383834838867,-75.19575500488281,02 06,02 06 driving,driving,02,06,16,39.95383834838867,-75.19575500488281,0
39.95323944091797,-75.20533752441406,03 06,03 06 driving,driving,03,06,1,39.95410919189453,-75.20515441894531,0.06087150549832175
39.95410919189453,-75.20515441894531,03 06,03 06 driving,driving,03,06,2,39.955177307128906,-75.20494079589844,0.07466189594565727
39.955177307128906,-75.20494079589844,03 06,03 06 driving,driving,03,06,3,39.95594024658203,-75.20478057861328,0.05339263603852352
39.95594024658203,-75.20478057861328,03 06,03 06 driving,driving,03,06,4,39.95589828491211,-75.2044677734375,0.016818787372707863
39.95589828491211,-75.2044677734375,03 06,03 06 driving,driving,03,06,5,39.955657958984375,-75.20250701904297,0.10516625055979974
39.955657958984375,-75.20250701904297,03 06,03 06 driving,driving,03,06,6,39.95560836791992,-75.20208740234375,0.022486714085255977
39.95560836791992,-75.20208740234375,03 06,03 06 driving,driving,03,06,7,39.955509185791016,-75.20127868652344,0.04337674681894369
39.955509185791016,-75.20127868652344,03 06,03 06 driving,driving,03,06,8,39.95549011230469,-75.20101165771484,0.01420392435999843
39.95549011230469,-75.20101165771484,03 06,03 06 driving,driving,03,06,9,39.955257415771484,-75.19921875,0.09630949601730689
39.955257415771484,-75.19921875,03 06,03 06 driving,driving,03,06,10,39.95515060424805,-75.19829559326172,0.04944722448626714
39.95515060424805,-75.19829559326172,03 06,03 06 driving,driving,03,06,11,39.954917907714844,-75.19645690917969,0.0987012409631257
39.954917907714844,-75.19645690917969,03 06,03 06 driving,driving,03,06,12,39.95480728149414,-75.19559478759766,0.04629633629471391
39.95480728149414,-75.19559478759766,03 06,03 06 driving,driving,03,06,13,39.95402908325195,-75.19574737548828,0.05437226908884651
39.95402908325195,-75.19574737548828,03 06,03 06 driving,driving,03,06,14,39.95404052734375,-75.19586181640625,0.006112626056418507
39.95404052734375,-75.19586181640625,03 06,03 06 driving,driving,03,06,15,39.95396041870117,-75.19587707519531,0.005593662450621069
39.95396041870117,-75.19587707519531,03 06,03 06 driving,driving,03,06,16,39.95391845703125,-75.19587707519531,0.0028992713596435755
39.95391845703125,-75.19587707519531,03 06,03 06 driving,driving,03,06,17,39.9538688659668,-75.19586181640625,0.0035204312974515305
39.9538688659668,-75.19586181640625,03 06,03 06 driving,driving,03,06,18,39.95384979248047,-75.195831298828125,0.0020854958516790018
39.95384979248047,-75.195831298828125,03 06,03 06 driving,driving,03,06,19,39.95383834838867,-75.19575500488281,0.00411749280974484
39.95383834838867,-75.19575500488281,03 06,03 06 driving,driving,03,06,20,39.95383834838867,-75.19575500488281,0
39.95200729370117,-75.20560455322266,04 06,04 06 driving,driving,04,06,1,39.95206832885742,-75.2055892944336,0.00429386693332136
39.95206832885742,-75.2055892944336,04 06,04 06 driving,driving,04,06,2,39.95174026489258,-75.20295715332031,0.14124419475193375
39.95174026489258,-75.20295715332031,04 06,04 06 driving,driving,04,06,3,39.951507568359375,-75.20115661621094,0.09671308162918381
39.951507568359375,-75.20115661621094,04 06,04 06 driving,driving,04,06,4,39.951290130615234,-75.19927978515625,0.10053746407922233
